Frame,YOLO_ms,Lane_ms,BEV_ms,Total_ms,FPS
625,16.21,25.13,1.41,43.42,23.03
626,21.98,29.23,1.29,53.09,18.84
627,17.65,28.96,1.2,48.4,20.66
628,18.85,26.21,1.06,46.62,21.45
629,12.31,25.06,1.03,139.9,7.15
630,17.0,26.99,1.02,45.55,21.95
631,16.25,28.04,1.26,46.13,21.68
632,17.58,27.19,1.25,46.6,21.46
633,16.36,29.04,3.11,50.45,19.82
634,27.85,43.11,2.79,75.29,13.28
635,15.98,45.56,2.15,64.66,15.46
636,18.28,41.6,2.49,63.5,15.75
637,15.97,41.1,3.54,63.77,15.68
638,31.43,36.67,2.01,71.22,14.04
639,17.37,40.3,1.77,60.31,16.58
640,20.44,38.48,2.09,61.97,16.14
641,15.94,38.17,2.13,57.26,17.46
642,19.21,44.79,2.1,67.05,14.91
643,15.68,63.85,2.24,82.74,12.09
644,28.76,41.88,2.07,73.46,13.61
645,28.39,37.1,1.68,68.01,14.7
646,31.32,37.3,1.66,71.12,14.06
647,31.88,49.3,1.94,83.98,11.91
648,31.89,37.97,1.81,72.53,13.79
649,29.88,38.26,1.92,71.02,14.08
650,26.89,39.24,1.75,68.76,14.54
651,31.6,46.98,1.61,81.09,12.33
652,33.82,41.66,1.94,78.33,12.77
653,28.85,38.7,1.64,70.07,14.27
654,23.01,46.09,1.87,71.87,13.91
655,35.25,42.12,2.13,80.48,12.43
656,25.56,39.88,2.5,69.25,14.44
657,26.15,46.57,2.66,78.24,12.78
658,34.61,39.84,2.92,78.77,12.7
659,20.99,30.01,1.7,53.6,18.66
660,16.83,26.18,1.47,45.13,22.16
661,16.04,25.77,1.48,43.96,22.75
662,16.07,25.82,1.94,44.56,22.44
663,19.17,31.33,1.65,52.86,18.92
664,18.42,30.89,1.48,51.53,19.41
665,18.21,25.63,1.52,46.04,21.72
666,16.59,24.82,1.47,43.53,22.97
667,17.55,30.27,1.37,49.78,20.09
668,16.9,26.04,1.03,44.45,22.5
669,18.84,26.86,1.15,47.43,21.08
670,16.47,26.32,1.23,44.6,22.42
671,22.08,30.59,2.48,56.66,17.65
672,17.16,26.88,1.25,45.86,21.81
673,16.42,25.65,0.98,43.56,22.96
674,16.52,25.32,1.31,43.74,22.86
675,17.04,31.23,1.19,50.04,19.98
676,16.1,24.89,1.18,42.78,23.38
677,18.57,28.24,1.08,48.48,20.63
678,15.98,28.86,1.48,46.95,21.3
679,17.01,29.03,1.16,47.8,20.92
680,16.17,24.62,0.95,42.25,23.67
681,18.57,25.73,1.25,46.17,21.66
682,16.16,25.14,1.25,43.12,23.19
683,17.01,29.87,1.18,48.66,20.55
684,16.49,25.97,1.21,44.23,22.61
685,17.69,26.49,1.28,46.08,21.7
686,16.15,27.16,1.24,45.15,22.15
687,21.47,30.59,1.7,54.46,18.36
688,17.25,27.44,1.29,46.63,21.45
689,21.39,26.8,1.25,50.02,19.99
690,16.19,26.27,1.37,44.4,22.52
691,17.94,30.17,1.29,49.98,20.01
692,17.77,25.35,1.16,44.78,22.33
693,19.61,28.85,1.16,50.14,19.94
694,16.32,24.35,1.17,42.41,23.58
695,17.62,31.1,1.28,50.63,19.75
696,16.46,25.55,1.02,43.56,22.96
697,19.21,27.93,1.6,49.41,20.24
698,16.03,26.51,1.32,44.47,22.49
699,17.42,30.34,1.6,50.06,19.98
700,17.07,27.51,1.44,46.65,21.44
701,18.69,28.67,3.3,51.91,19.26
702,16.37,26.88,1.42,45.35,22.05
703,17.89,30.85,1.75,51.24,19.52
704,17.24,27.12,1.63,46.74,21.39
705,24.03,29.23,1.68,55.68,17.96
706,17.08,29.17,1.61,48.61,20.57
707,17.72,32.56,1.27,52.2,19.16
708,16.97,26.97,1.22,45.74,21.86
709,20.7,26.41,1.02,48.64,20.56
710,15.87,26.53,1.0,43.97,22.74
711,19.94,27.55,1.12,49.17,20.34
712,16.89,29.03,1.24,47.74,20.95
713,17.93,28.79,1.02,48.25,20.72
714,16.32,28.2,1.19,46.29,21.6
715,17.19,32.91,1.37,52.08,19.2
716,21.91,35.21,1.55,59.4,16.83
717,18.61,33.69,1.96,55.11,18.14
718,18.65,28.13,1.7,49.23,20.31
719,19.11,29.65,1.94,51.7,19.34
720,20.36,28.71,1.52,51.23,19.52
721,19.53,30.38,1.52,52.19,19.16
722,16.49,27.29,1.41,45.95,21.76
723,19.51,27.86,1.44,49.47,20.21
724,21.15,29.74,1.42,52.97,18.88
725,18.87,28.02,1.52,49.18,20.33
726,17.71,28.61,1.53,48.55,20.6
727,18.75,29.76,1.52,50.74,19.71
728,17.67,27.32,1.3,46.95,21.3
729,24.0,32.76,1.42,58.81,17.0
730,20.32,34.65,1.5,57.13,17.51
731,18.61,31.09,1.74,52.19,19.16
732,18.06,28.25,1.67,48.73,20.52
733,21.28,30.65,1.79,54.47,18.36
734,17.53,28.25,1.99,48.78,20.5
735,18.22,32.95,1.52,53.42,18.72
736,18.03,27.19,1.2,47.05,21.25
737,20.4,25.99,1.24,48.22,20.74
738,17.2,27.1,1.53,46.57,21.47
739,17.28,28.15,1.41,47.52,21.04
740,16.95,27.17,1.61,46.4,21.55
741,17.36,26.73,1.38,46.16,21.66
742,16.56,27.59,1.22,45.95,21.76
743,20.57,30.69,1.39,53.3,18.76
744,17.26,31.7,3.03,53.22,18.79
745,21.2,28.06,1.43,51.35,19.47
746,16.1,26.63,1.47,45.02,22.21
747,18.4,26.66,1.83,47.66,20.98
748,17.73,33.88,1.5,53.84,18.57
749,18.93,30.25,1.28,51.04,19.59
750,17.01,27.0,1.41,46.08,21.7
751,18.33,27.03,1.32,47.27,21.16
752,16.31,26.57,1.71,45.32,22.07
753,20.39,28.1,1.62,50.81,19.68
754,17.17,27.31,1.6,46.84,21.35
755,18.02,26.79,1.63,47.19,21.19
756,16.24,26.57,1.71,45.28,22.08
757,19.51,32.53,1.84,54.71,18.28
758,18.14,28.48,2.09,49.61,20.16
759,19.02,28.47,1.64,49.89,20.05
760,16.64,33.3,1.8,52.6,19.01
761,18.48,32.2,1.73,53.18,18.8
762,18.17,28.55,1.93,49.48,20.21
763,20.59,28.35,1.99,51.78,19.31
764,16.08,28.15,1.62,46.61,21.46
765,19.69,31.32,1.53,53.27,18.77
766,17.36,26.7,1.36,46.01,21.74
767,17.84,27.77,1.39,47.6,21.01
768,16.85,27.6,1.51,46.65,21.44
769,21.99,31.11,1.89,55.81,17.92
770,17.45,26.87,1.74,46.82,21.36
771,18.32,26.43,1.77,47.25,21.17
772,24.27,29.81,1.89,56.88,17.58
773,21.68,31.51,2.05,56.16,17.81
774,18.27,27.53,1.64,48.3,20.7
775,16.71,30.43,1.8,49.9,20.04
776,17.05,27.99,1.36,47.01,21.27
777,21.51,32.8,1.32,56.27,17.77
778,17.37,26.83,1.22,46.01,21.73
779,17.49,27.22,1.08,46.29,21.6
780,15.85,28.69,1.12,46.23,21.63
781,19.7,31.36,1.06,52.64,19.0
782,16.92,28.35,1.01,46.82,21.36
783,17.78,28.47,1.4,48.48,20.63
784,16.31,29.75,1.04,47.62,21.0
785,17.86,32.08,1.15,51.63,19.37
786,16.92,36.55,1.82,56.22,17.79
787,15.59,29.08,1.37,46.65,21.44
788,15.55,27.94,1.27,45.46,22.0
789,20.5,35.11,1.34,57.6,17.36
790,18.11,29.19,1.56,49.62,20.15
791,17.97,27.6,1.37,47.54,21.04
792,15.48,28.28,1.23,45.57,21.94
793,19.24,32.43,1.36,53.64,18.64
794,17.22,28.75,1.92,48.59,20.58
795,17.9,27.51,1.25,47.23,21.17
796,15.15,28.74,1.23,45.71,21.87
797,19.71,34.11,1.3,55.79,17.92
798,21.76,44.54,2.21,69.56,14.38
799,19.63,43.65,2.17,66.44,15.05
800,25.5,43.36,2.01,71.98,13.89
801,40.63,52.95,2.94,97.79,10.23
802,26.42,40.27,3.05,71.04,14.08
803,28.0,41.03,2.25,72.24,13.84
804,21.97,42.07,2.6,67.74,14.76
805,38.02,49.46,2.32,90.79,11.01
806,26.13,40.06,2.33,69.48,14.39
807,24.94,39.98,2.43,68.39,14.62
808,24.86,41.73,2.64,70.43,14.2
809,37.33,52.36,2.37,93.04,10.75
810,30.77,44.33,2.39,78.55,12.73
811,26.78,41.83,2.57,72.33,13.82
812,25.99,39.81,2.31,69.14,14.46
813,35.1,49.72,2.48,88.42,11.31
814,19.23,44.69,2.54,67.6,14.79
815,26.34,41.87,2.33,71.57,13.97
816,22.67,40.39,2.32,66.36,15.07
817,40.51,48.13,2.87,92.74,10.78
818,26.57,41.34,2.69,71.66,13.95
819,28.54,45.2,2.44,77.29,12.94
820,29.51,42.89,2.55,76.05,13.15
821,20.23,31.69,1.25,53.84,18.57
822,18.75,27.73,1.46,48.61,20.57
823,14.5,28.54,1.44,45.07,22.19
824,14.68,26.62,1.27,43.18,23.16
825,16.58,51.59,3.37,72.74,13.75
826,15.94,27.88,1.49,46.01,21.74
827,18.63,28.56,1.41,49.2,20.32
828,15.35,28.33,1.55,45.94,21.77
829,18.16,32.72,1.63,53.22,18.79
830,16.48,30.07,1.52,48.66,20.55
831,16.54,30.24,1.48,48.89,20.45
832,16.53,27.86,1.43,46.54,21.49
833,18.43,46.89,1.55,67.6,14.79
834,15.57,29.93,1.59,47.74,20.95
835,17.62,28.92,1.64,48.88,20.46
836,15.74,35.34,1.38,53.12,18.83
837,19.74,39.03,1.39,60.81,16.44
838,17.48,32.22,1.32,51.62,19.37
839,18.42,27.46,1.84,48.48,20.63
840,14.99,27.06,1.56,44.33,22.56
841,21.08,28.86,1.6,52.2,19.16
842,16.21,27.5,1.78,46.25,21.62
843,16.68,27.91,2.11,47.57,21.02
844,15.28,28.48,1.9,46.43,21.54
845,24.47,28.98,2.38,56.72,17.63
846,17.02,31.18,2.49,51.67,19.35
847,15.76,27.1,2.88,46.98,21.29
848,15.12,27.34,1.57,44.71,22.37
849,17.33,30.7,1.89,50.72,19.72
850,16.85,28.69,1.66,47.9,20.88
851,17.29,27.62,1.78,47.68,20.97
852,15.99,27.56,2.1,46.49,21.51
853,18.71,29.16,1.89,50.53,19.79
854,16.57,27.38,1.77,46.49,21.51
855,16.23,27.31,1.9,46.29,21.6
856,14.92,29.24,1.99,46.97,21.29
857,19.03,33.6,1.82,55.27,18.09
858,17.62,28.6,1.62,48.53,20.61
859,16.24,28.33,1.78,47.17,21.2
860,14.69,28.37,1.88,45.9,21.79
861,20.75,27.81,1.77,51.07,19.58
862,15.79,38.74,2.14,57.58,17.37
863,16.74,27.54,1.85,46.89,21.33
864,15.0,28.4,1.94,46.18,21.66
865,18.56,31.18,1.76,52.27,19.13
866,17.04,28.86,1.75,48.45,20.64
867,17.73,28.23,2.0,48.93,20.44
868,15.57,27.23,2.01,45.76,21.85
869,18.89,32.45,1.72,53.81,18.58
870,15.82,27.74,1.81,46.13,21.68
871,17.86,27.67,1.95,48.24,20.73
872,14.49,26.57,1.81,43.63,22.92
873,19.32,33.73,1.92,55.76,17.93
874,15.87,26.86,1.82,45.32,22.07
875,19.99,28.68,1.94,51.49,19.42
876,15.68,29.28,1.93,47.73,20.95
877,23.84,44.33,1.82,70.72,14.14
878,18.28,30.55,1.99,51.72,19.34
879,19.73,27.97,1.79,50.23,19.91
880,14.93,31.37,1.74,48.76,20.51
881,18.85,29.27,1.65,50.51,19.8
882,16.24,28.15,1.61,46.68,21.42
883,14.61,28.88,1.58,45.77,21.85
884,15.76,29.2,1.67,47.38,21.11
885,19.52,29.96,1.78,52.1,19.19
886,16.79,28.06,1.85,47.48,21.06
887,17.74,28.16,1.81,48.55,20.6
888,15.38,27.43,1.78,45.41,22.02
889,23.01,30.68,2.08,56.68,17.64
890,17.68,28.35,2.17,49.17,20.34
891,17.76,30.18,2.92,52.21,19.15
892,16.1,27.36,2.06,46.36,21.57
893,17.75,30.16,1.85,50.56,19.78
894,16.27,28.39,1.88,47.36,21.11
895,18.73,27.81,1.76,49.13,20.36
896,15.5,26.41,1.77,44.41,22.52
897,19.0,33.99,1.82,55.55,18.0
898,16.89,28.49,1.88,48.14,20.77
899,17.78,29.11,1.82,49.48,20.21
900,16.17,27.94,1.78,46.63,21.44
901,19.5,33.88,1.99,56.14,17.81
902,16.43,27.01,1.82,45.99,21.74
903,16.19,27.71,1.69,46.34,21.58
904,15.54,27.0,1.7,45.01,22.22
905,20.03,30.27,1.79,52.84,18.92
906,16.83,38.89,1.94,58.46,17.11
907,18.77,27.35,1.81,48.69,20.54
908,15.97,27.74,1.77,46.28,21.61
909,18.05,32.07,1.76,52.63,19.0
910,16.43,27.83,1.58,46.54,21.49
911,15.9,27.38,1.49,45.47,21.99
912,15.8,28.04,1.79,46.49,21.51
913,19.38,28.21,1.41,49.78,20.09
914,16.17,27.3,1.54,45.7,21.88
915,17.27,27.77,1.71,47.57,21.02
916,15.31,29.59,1.66,47.32,21.13
917,25.27,33.73,1.6,61.31,16.31
918,17.83,27.8,1.54,47.85,20.9
919,17.28,27.13,1.49,48.21,20.74
920,14.84,27.23,1.31,43.99,22.73
921,29.85,28.05,1.28,59.84,16.71
922,16.54,28.01,1.37,46.53,21.49
923,17.22,27.45,1.46,46.73,21.4
924,14.73,28.47,1.42,45.19,22.13
925,19.12,30.5,1.33,51.67,19.35
926,16.3,27.94,1.34,46.18,21.66
927,17.12,27.99,1.41,47.13,21.22
928,14.91,27.62,1.27,44.39,22.53
929,20.94,31.53,1.76,54.96,18.19
930,16.12,27.53,1.32,45.57,21.94
931,16.29,28.76,1.56,47.32,21.13
932,14.83,27.56,1.57,44.68,22.38
933,19.51,27.98,1.67,49.91,20.04
934,15.94,29.11,1.33,46.99,21.28
935,17.64,27.37,1.69,47.37,21.11
936,19.69,27.2,1.52,49.11,20.36
937,19.94,30.82,1.46,52.87,18.91
938,16.7,27.36,1.5,46.22,21.63
939,15.82,27.82,1.46,45.76,21.85
940,16.61,28.47,1.53,47.3,21.14
941,18.79,29.05,1.54,50.09,19.96
942,15.76,26.96,1.54,44.94,22.25
943,16.63,27.61,1.88,46.88,21.33
944,15.21,28.64,1.88,46.49,21.51
945,18.5,32.86,1.65,53.74,18.61
946,17.65,28.81,1.52,48.68,20.54
947,17.72,28.43,2.13,49.07,20.38
948,14.83,28.25,1.75,45.63,21.91
949,19.89,32.48,1.62,54.67,18.29
950,15.76,27.14,1.56,45.13,22.16
951,20.12,27.26,1.58,49.62,20.15
952,14.8,26.87,1.38,43.66,22.9
953,21.57,27.11,1.51,50.87,19.66
954,15.78,27.18,1.37,44.94,22.25
955,16.32,27.02,1.51,45.56,21.95
956,14.48,27.42,1.31,43.8,22.83
957,21.2,31.13,1.27,54.19,18.45
958,16.15,27.33,1.37,45.48,21.99
959,14.64,27.5,1.49,44.31,22.57
960,14.54,28.6,1.36,45.12,22.16
961,20.43,32.82,1.54,55.46,18.03
962,15.54,27.47,2.51,46.7,21.42
963,20.78,45.99,2.67,70.55,14.17
964,24.46,40.86,2.6,68.99,14.49
965,32.75,53.31,2.68,89.83,11.13
966,29.26,42.1,2.95,75.5,13.24
967,22.96,42.76,2.56,69.37,14.42
968,22.53,40.34,2.55,66.49,15.04
969,20.83,41.87,2.69,66.57,15.02
970,25.21,43.31,2.64,72.24,13.84
971,23.52,41.16,3.01,68.79,14.54
972,25.69,40.14,2.27,69.06,14.48
973,33.57,45.04,2.37,82.12,12.18
974,26.48,39.24,2.17,68.9,14.51
975,35.02,39.27,2.1,77.32,12.93
976,22.03,40.19,2.24,65.46,15.28
977,32.71,49.95,2.25,85.87,11.65
978,39.56,41.43,2.53,84.58,11.82
979,27.82,41.75,2.28,72.82,13.73
980,25.57,41.13,2.46,70.13,14.26
981,40.06,49.74,2.27,93.41,10.71
982,18.62,45.62,2.73,68.42,14.62
983,21.01,42.16,2.2,66.33,15.08
984,18.45,43.53,2.21,65.15,15.35
985,42.53,46.12,2.53,92.62,10.8
986,25.62,31.77,1.38,59.43,16.83
987,15.04,27.2,1.32,44.16,22.65
988,19.38,28.0,1.56,49.61,20.16
989,16.66,29.63,1.95,49.05,20.39
990,19.38,28.48,1.54,50.06,19.98
991,15.42,27.25,1.59,45.03,22.21
992,18.83,27.41,1.5,48.42,20.65
993,17.68,30.1,1.3,49.71,20.12
994,18.46,28.58,1.42,49.12,20.36
995,14.81,26.67,1.59,43.83,22.81
996,19.08,26.79,1.42,47.93,20.86
997,14.33,27.8,1.5,44.3,22.58
998,17.42,36.94,1.48,56.5,17.7
999,20.5,42.73,1.74,65.8,15.2
1000,17.71,27.75,1.62,47.76,20.94
1001,14.48,28.08,1.48,44.75,22.35
1002,16.09,27.27,1.44,45.46,22.0
1003,16.76,28.44,1.44,47.32,21.13
1004,20.52,27.71,1.43,50.33,19.87
1005,14.84,28.83,1.59,45.96,21.76
1006,16.18,26.23,1.48,44.54,22.45
1007,16.73,28.53,1.64,47.67,20.98
1008,17.42,27.34,1.74,47.25,21.16
1009,14.99,26.97,1.71,44.45,22.5
1010,14.18,26.64,1.75,43.29,23.1
1011,17.26,27.93,1.65,47.58,21.02
1012,19.45,27.02,1.75,48.98,20.41
1013,14.8,26.06,1.62,43.21,23.14
1014,19.88,40.45,2.85,64.07,15.61
1015,18.9,35.43,1.8,56.91,17.57
1016,19.49,28.55,1.62,50.37,19.85
1017,14.73,26.94,1.5,43.84,22.81
1018,16.51,26.47,1.55,45.29,22.08
1019,17.05,28.89,1.63,48.31,20.7
1020,22.28,26.53,1.63,51.26,19.51
1021,14.54,26.13,1.43,42.78,23.37
1022,16.9,26.1,1.69,45.39,22.03
1023,17.21,28.98,1.7,48.64,20.56
1024,18.65,26.32,1.47,47.12,21.22
1025,14.94,26.45,1.51,43.55,22.96
1026,16.9,27.24,1.57,46.35,21.58
1027,16.66,29.1,1.55,48.06,20.81
1028,19.29,26.56,1.56,48.13,20.78
1029,14.62,27.01,4.42,47.25,21.16
1030,16.75,26.94,1.64,46.09,21.7
1031,16.83,28.02,1.59,47.21,21.18
1032,18.8,29.74,1.69,50.99,19.61
1033,14.98,26.36,1.64,43.74,22.86
1034,17.0,26.94,1.67,46.41,21.55
1035,18.39,31.61,1.65,52.39,19.09
1036,18.24,27.87,1.68,48.53,20.61
1037,14.82,27.17,1.5,44.14,22.65
1038,17.02,26.87,1.65,46.25,21.62
1039,17.09,29.57,1.43,48.76,20.51
1040,18.79,26.51,1.42,47.47,21.07
1041,15.1,26.65,1.46,43.89,22.78
1042,16.95,27.26,1.62,46.54,21.49
1043,17.28,30.36,1.66,50.48,19.81
1044,19.43,27.88,1.52,49.58,20.17
1045,22.16,27.74,1.59,52.22,19.15
1046,18.64,27.43,1.49,48.23,20.74
1047,17.26,28.38,1.44,47.73,20.95
1048,21.53,30.48,1.62,54.37,18.39
1049,15.58,26.77,1.36,44.37,22.54
1050,16.51,27.22,1.39,45.8,21.84
1051,17.71,29.02,1.47,48.88,20.46
1052,17.98,28.2,1.37,48.21,20.74
1053,19.22,27.41,1.65,49.03,20.4
1054,15.11,26.86,1.74,44.46,22.49
1055,17.34,30.41,1.68,50.19,19.92
1056,18.54,27.34,1.7,48.32,20.7
1057,15.44,27.12,1.61,44.93,22.26
1058,18.15,27.12,1.57,47.6,21.01
1059,17.47,29.84,3.02,51.64,19.36
1060,21.11,30.85,1.59,54.3,18.42
1061,15.62,26.14,1.62,44.13,22.66
1062,15.87,27.54,1.74,45.96,21.76
1063,16.88,29.44,1.84,48.94,20.43
1064,20.84,26.98,1.63,50.28,19.89
1065,15.62,27.64,1.72,45.87,21.8
1066,16.99,27.05,1.72,46.5,21.5
1067,17.42,28.27,1.43,47.8,20.92
1068,19.76,26.44,1.67,48.68,20.54
1069,15.06,26.6,1.83,44.48,22.48
1070,18.5,26.04,1.84,47.15,21.21
1071,18.18,28.81,1.7,49.45,20.22
1072,20.77,26.9,1.6,49.97,20.01
1073,15.43,27.81,1.81,45.8,21.83
1074,17.03,27.12,2.4,48.24,20.73
1075,19.43,30.07,1.97,52.9,18.9
1076,19.62,29.66,1.51,51.47,19.43
1077,14.82,27.98,1.44,44.93,22.26
1078,18.04,27.54,1.77,48.18,20.76
1079,17.1,28.62,1.67,48.19,20.75
1080,17.76,28.43,1.77,48.82,20.48
1081,15.25,25.86,1.65,43.57,22.95
1082,16.44,26.24,1.5,44.92,22.26
1083,17.14,28.57,1.75,48.23,20.73
1084,19.58,26.9,1.47,48.64,20.56
1085,15.04,26.06,1.72,43.56,22.96
1086,16.97,28.23,1.83,47.83,20.91
1087,17.59,28.96,1.77,49.18,20.34
1088,19.24,26.29,1.7,47.99,20.84
1089,15.1,25.59,1.56,42.98,23.27
1090,25.06,30.19,1.68,57.71,17.33
1091,18.55,28.7,1.82,49.94,20.03
1092,22.59,28.41,1.69,53.65,18.64
1093,15.64,26.74,1.71,44.93,22.26
1094,17.61,26.61,1.73,46.76,21.39
1095,17.4,31.18,1.52,50.79,19.69
1096,22.06,28.64,1.47,52.84,18.92
1097,14.42,26.26,1.31,42.58,23.49
1098,16.82,27.3,1.45,46.26,21.62
1099,17.01,30.07,1.41,49.15,20.35
1100,20.4,27.12,1.83,50.16,19.93
1101,15.44,26.23,1.67,44.11,22.67
1102,17.66,27.32,1.77,47.57,21.02
1103,17.54,29.44,1.56,49.31,20.28
1104,21.31,28.97,1.56,52.51,19.05
1105,21.74,32.53,1.57,56.5,17.7
1106,15.53,26.98,1.98,45.51,21.97
1107,17.43,29.78,1.66,49.68,20.13
1108,21.02,28.04,1.63,51.48,19.43
1109,15.66,26.26,1.63,44.4,22.52
1110,17.52,27.36,1.91,47.57,21.02
1111,17.59,30.71,1.83,50.96,19.62
1112,21.55,28.15,1.78,52.25,19.14
1113,15.25,27.53,1.69,45.29,22.08
1114,17.27,27.16,1.71,46.95,21.3
1115,17.34,31.49,1.52,51.04,19.59
1116,18.17,29.34,1.49,49.69,20.13
1117,15.09,27.08,1.44,44.28,22.59
1118,15.59,26.6,1.51,44.4,22.52
1119,17.11,29.65,1.48,48.91,20.44
1120,23.14,35.79,1.56,61.18,16.35
1121,18.19,26.82,1.74,47.5,21.05
1122,15.95,26.48,1.56,44.7,22.37
1123,16.93,28.52,1.53,47.64,20.99
1124,17.92,27.26,1.58,47.46,21.07
1125,15.22,26.81,1.68,44.47,22.49
1126,15.59,26.72,1.48,44.47,22.48
1127,17.43,29.55,1.85,49.6,20.16
1128,17.24,26.7,1.34,45.86,21.8
1129,15.29,26.85,1.77,44.67,22.39
1130,15.39,27.17,1.54,44.74,22.35
1131,17.53,29.99,1.75,50.02,19.99
1132,25.55,41.59,2.89,71.28,14.03
1133,19.82,38.31,2.1,61.21,16.34
1134,20.25,55.75,2.95,80.72,12.39
1135,36.55,52.41,2.46,92.38,10.82
1136,30.86,39.67,3.23,74.88,13.36
1137,17.6,39.88,2.59,61.15,16.35
1138,26.96,39.93,2.19,70.08,14.27
1139,16.3,45.4,3.48,68.37,14.63
1140,25.35,39.89,2.11,68.31,14.64
1141,26.62,39.82,2.62,70.23,14.24
1142,24.93,40.07,2.93,69.1,14.47
1143,32.44,47.57,3.17,84.56,11.83
1144,28.63,42.82,3.16,75.8,13.19
1145,25.67,39.02,2.67,68.43,14.61
1146,29.55,37.68,2.8,71.19,14.05
1147,32.65,45.41,2.85,82.15,12.17
1148,32.98,41.28,2.94,78.17,12.79
1149,28.9,43.67,3.06,76.96,12.99
1150,23.56,42.38,3.31,70.65,14.15
1151,34.57,46.83,4.05,86.87,11.51
1152,37.52,46.78,2.59,87.98,11.37
1153,21.71,42.32,3.0,68.37,14.63
1154,29.83,48.39,3.3,82.84,12.07
1155,23.53,46.24,2.94,74.01,13.51
1156,21.04,26.06,1.65,49.48,20.21
1157,15.67,26.63,1.85,44.9,22.27
1158,18.42,26.68,1.76,47.6,21.01
1159,16.73,28.49,1.5,47.38,21.1
1160,20.88,27.67,1.72,51.03,19.6
1161,15.97,28.5,1.79,47.01,21.27
1162,18.0,26.64,1.82,47.24,21.17
1163,23.64,26.98,1.65,53.02,18.86
1164,21.51,28.07,1.69,52.01,19.23
1165,15.66,26.36,1.64,44.4,22.52
1166,19.01,26.38,1.74,47.87,20.89
1167,17.14,27.88,1.77,47.51,21.05
1168,22.96,26.29,1.72,51.76,19.32
1169,19.48,28.46,1.71,50.39,19.84
1170,18.4,28.98,1.71,49.83,20.07
1171,16.97,28.31,1.8,47.83,20.91
1172,19.2,27.06,1.75,48.76,20.51
1173,16.45,25.64,2.07,45.04,22.2
1174,18.39,26.12,1.7,46.97,21.29
1175,16.79,30.49,1.62,49.66,20.14
1176,22.62,27.07,1.79,52.23,19.15
1177,16.33,26.49,1.76,45.37,22.04
1178,18.68,27.73,1.98,49.13,20.36
1179,17.09,27.97,1.61,47.41,21.09
1180,20.03,29.23,1.63,51.63,19.37
1181,16.92,25.51,1.66,44.81,22.32
1182,17.53,27.37,1.78,47.48,21.06
1183,17.11,30.34,1.87,50.15,19.94
1184,18.74,26.98,1.67,48.19,20.75
1185,17.4,25.54,1.67,45.37,22.04
1186,16.6,25.93,1.72,45.0,22.22
1187,17.35,28.25,1.81,48.17,20.76
1188,18.63,26.72,1.77,47.87,20.89
1189,21.83,26.51,1.77,50.85,19.67
1190,17.98,26.94,1.88,47.65,20.99
1191,17.52,29.11,2.17,49.65,20.14
1192,22.4,30.12,2.15,55.47,18.03
1193,16.74,26.58,1.83,45.97,21.75
1194,17.85,28.6,2.07,49.41,20.24
1195,18.44,31.05,1.83,52.09,19.2
1196,18.56,28.02,2.03,49.45,20.22
1197,17.02,25.62,1.6,44.98,22.23
1198,20.7,33.27,2.1,56.91,17.57
1199,17.14,27.46,1.86,47.27,21.16
1200,18.32,26.79,1.77,47.62,21.0
1201,16.88,25.42,1.76,44.77,22.34
1202,18.7,25.84,1.75,47.04,21.26
1203,17.31,27.87,2.08,48.26,20.72
1204,19.66,27.65,1.82,49.87,20.05
1205,17.58,26.21,1.9,46.54,21.49
1206,18.89,26.47,1.82,48.05,20.81
1207,17.32,28.24,1.68,47.99,20.84
1208,23.38,28.24,1.78,54.24,18.44
1209,18.41,25.81,1.73,46.81,21.36
1210,18.09,25.53,1.64,46.08,21.7
1211,16.9,27.34,1.67,46.69,21.42
1212,19.78,26.07,1.61,48.23,20.73
1213,18.94,32.31,1.88,53.89,18.56
1214,17.84,25.22,1.91,45.8,21.83
1215,17.14,28.86,1.69,48.52,20.61
1216,21.04,26.84,1.67,50.31,19.88
1217,17.65,26.19,1.76,46.47,21.52
1218,18.5,26.47,1.68,47.39,21.1
1219,17.16,28.49,1.65,48.05,20.81
1220,23.86,26.41,1.62,52.71,18.97
1221,16.68,25.9,1.67,45.01,22.22
1222,17.28,25.47,1.67,45.19,22.13
1223,17.08,27.17,1.89,46.97,21.29
1224,17.4,26.14,1.99,46.31,21.6
1225,19.04,25.17,1.64,46.62,21.45
1226,17.05,25.65,1.5,44.87,22.28
1227,17.52,26.97,1.57,46.76,21.39
1228,37.33,25.93,1.33,65.2,15.34
1229,16.7,25.75,1.66,44.78,22.33
1230,18.68,25.73,1.68,46.93,21.31
1231,17.76,35.78,2.67,57.37,17.43
1232,20.63,32.01,1.78,55.19,18.12
1233,17.11,25.19,1.71,44.77,22.34
1234,18.62,25.43,1.75,46.55,21.48
1235,17.37,33.21,1.88,53.3,18.76
1236,18.91,30.02,1.84,51.61,19.38
1237,16.56,27.83,1.83,47.01,21.27
1238,18.62,26.02,1.8,47.19,21.19
1239,19.48,28.14,1.72,50.08,19.97
1240,19.52,27.83,1.89,50.29,19.88
1241,17.67,27.32,1.94,47.73,20.95
1242,20.45,36.33,1.92,59.53,16.8
1243,17.18,29.21,1.89,49.11,20.36
1244,19.66,29.05,1.74,51.22,19.53
1245,17.46,27.29,2.28,47.96,20.85
1246,19.28,27.79,1.71,49.53,20.19
1247,15.55,25.72,1.34,43.27,23.11
