Frame,YOLO_ms,Lane_ms,BEV_ms,Total_ms,FPS
144,37.21,42.19,2.8,83.36,12.0
145,19.93,40.93,3.33,65.56,15.25
146,32.66,36.14,2.79,72.75,13.74
147,25.39,35.4,3.39,65.62,15.24
148,40.33,40.22,3.01,84.82,11.79
149,24.3,39.86,2.45,67.64,14.78
150,27.08,44.85,1.99,74.88,13.35
151,38.47,44.06,2.18,85.72,11.67
152,16.97,26.95,1.28,45.79,21.84
153,16.37,36.36,2.97,56.75,17.62
154,16.4,25.36,1.29,43.69,22.89
155,16.48,27.17,1.21,45.53,21.96
156,17.61,26.96,1.28,46.44,21.53
157,16.77,24.72,1.51,43.74,22.86
158,18.96,24.55,1.62,45.87,21.8
159,16.74,26.33,1.42,45.13,22.16
160,17.89,26.56,1.2,46.26,21.62
161,16.68,24.26,1.15,42.69,23.43
162,19.1,24.91,1.38,46.05,21.72
163,16.63,26.86,1.18,45.39,22.03
164,18.57,27.94,1.48,49.02,20.4
165,16.71,34.9,2.08,54.7,18.28
166,19.95,28.44,1.48,50.59,19.77
167,16.67,27.9,1.24,46.43,21.54
168,29.32,29.6,1.95,61.84,16.17
169,17.54,25.7,1.65,45.61,21.93
170,19.42,25.38,1.64,47.29,21.15
171,16.92,28.72,1.44,47.74,20.95
172,19.44,26.72,1.51,48.39,20.66
173,16.64,27.01,1.29,45.58,21.94
174,19.42,26.12,1.7,48.18,20.75
175,16.4,27.05,1.01,44.96,22.24
176,17.77,27.61,1.23,47.18,21.19
177,16.55,25.84,1.22,44.21,22.62
178,19.64,30.1,1.28,51.59,19.39
179,16.89,31.79,1.35,50.63,19.75
180,17.68,27.8,1.64,47.87,20.89
181,16.64,27.34,1.87,46.68,21.42
182,16.58,31.33,2.35,51.38,19.46
183,16.15,28.51,1.27,46.54,21.49
184,17.62,26.4,1.46,46.16,21.66
185,16.52,25.81,1.56,44.54,22.45
186,18.86,26.78,1.43,47.79,20.93
187,16.58,34.5,2.02,54.02,18.51
188,18.42,27.54,1.59,48.32,20.7
189,16.7,25.8,1.26,44.39,22.53
190,18.62,26.19,1.81,47.39,21.1
191,18.2,29.21,1.73,50.0,20.0
192,19.37,28.25,1.6,50.04,19.98
193,17.77,25.31,1.76,45.59,21.93
194,18.49,27.78,1.39,48.36,20.68
195,16.33,26.59,1.25,44.77,22.34
196,16.91,29.23,1.97,48.96,20.42
197,16.43,25.24,1.03,43.19,23.16
198,17.21,24.62,1.04,43.41,23.03
199,16.0,27.04,0.87,44.35,22.55
200,17.79,27.79,0.87,46.9,21.32
201,16.23,24.03,0.92,41.63,24.02
202,19.04,25.86,0.94,46.34,21.58
203,17.26,26.93,0.89,45.51,21.97
204,18.77,25.9,0.87,45.97,21.76
205,16.22,25.51,0.86,43.04,23.23
206,20.17,25.78,1.63,48.16,20.76
207,16.14,27.28,1.13,45.04,22.2
208,16.32,26.29,0.9,44.0,22.73
209,16.14,23.94,0.86,41.36,24.18
210,16.18,24.82,0.82,42.27,23.66
211,16.34,30.96,1.4,49.61,20.16
212,16.95,26.65,1.15,45.29,22.08
213,16.42,25.28,0.99,43.24,23.13
214,19.49,27.73,1.13,48.91,20.45
215,16.22,28.25,1.02,46.02,21.73
216,17.99,30.16,1.17,49.83,20.07
217,17.64,27.09,1.02,46.27,21.61
218,18.57,26.94,0.99,47.03,21.26
219,16.3,27.97,1.0,45.76,21.86
220,17.4,29.17,1.39,48.6,20.58
221,20.65,27.23,1.23,49.71,20.12
222,19.11,28.5,0.99,49.11,20.36
223,16.39,30.31,1.08,48.27,20.72
224,18.11,28.62,1.03,48.27,20.72
225,16.75,26.41,1.02,44.68,22.38
226,25.97,31.44,1.05,58.95,16.96
227,16.44,27.84,1.03,45.79,21.84
228,16.91,27.93,1.1,46.53,21.49
229,17.16,25.65,0.98,44.28,22.58
230,17.7,26.0,0.83,44.95,22.25
231,16.04,28.12,1.13,45.83,21.82
232,17.47,26.96,1.04,46.04,21.72
233,16.31,27.2,1.06,45.1,22.17
234,19.44,24.56,0.78,45.2,22.13
235,16.29,28.62,1.11,46.54,21.49
236,20.63,24.87,0.8,46.71,21.41
237,15.76,25.02,0.93,42.67,23.43
238,19.79,26.25,0.79,47.25,21.16
239,15.88,25.76,0.86,42.9,23.31
240,17.24,25.39,0.98,44.02,22.72
241,15.55,31.02,1.3,48.6,20.58
242,17.75,24.27,0.85,43.32,23.08
243,16.09,26.56,0.86,44.01,22.72
244,18.22,25.72,0.85,45.2,22.12
245,16.06,25.04,1.24,42.94,23.29
246,17.6,25.22,0.96,44.23,22.61
247,16.47,25.73,1.0,43.68,22.89
248,18.03,28.98,1.0,48.47,20.63
249,16.13,26.1,1.07,43.83,22.82
250,16.54,26.27,0.87,44.1,22.68
251,15.7,24.12,0.81,181.33,5.51
252,20.87,29.62,0.88,51.79,19.31
253,16.1,27.65,0.86,45.03,22.21
254,17.51,27.76,1.33,47.41,21.09
255,16.69,24.09,0.81,42.01,23.8
256,17.97,26.78,1.0,46.23,21.63
257,16.13,28.0,0.93,45.53,21.97
258,17.09,26.27,1.0,44.83,22.31
259,17.15,26.8,0.87,45.25,22.1
260,19.8,25.14,0.82,46.2,21.65
261,16.17,27.77,0.76,45.16,22.14
262,16.48,26.93,0.83,44.67,22.38
263,18.5,26.21,0.78,45.95,21.76
264,20.06,25.84,0.85,47.18,21.2
265,16.16,28.22,0.88,45.68,21.89
266,16.41,27.99,0.69,45.42,22.02
267,17.07,25.48,0.83,43.81,22.83
268,17.94,26.31,0.95,45.64,21.91
269,16.1,27.8,0.78,45.13,22.16
270,19.88,26.22,0.81,47.33,21.13
271,16.48,25.42,0.81,43.12,23.19
272,17.52,26.33,0.81,45.21,22.12
273,15.57,25.82,0.59,42.33,23.62
274,16.89,26.07,0.59,43.9,22.78
275,15.99,23.66,0.52,40.55,24.66
276,17.1,25.31,0.57,43.36,23.07
277,15.35,27.29,0.67,43.75,22.86
278,20.07,28.69,0.82,50.01,19.99
279,16.23,25.96,0.89,43.5,22.99
280,20.29,27.3,0.74,48.76,20.51
281,16.49,27.13,0.75,44.83,22.3
282,17.33,27.28,0.82,45.98,21.75
283,16.19,24.75,0.78,42.14,23.73
284,19.2,25.15,1.08,45.99,21.74
285,22.65,34.74,1.17,59.16,16.9
286,17.41,26.92,0.91,45.77,21.85
287,15.85,24.47,0.82,41.56,24.06
288,18.61,26.27,1.11,46.56,21.48
289,16.38,26.99,0.85,44.63,22.4
290,17.1,25.21,1.42,44.25,22.6
291,16.55,25.93,0.83,43.73,22.87
292,18.21,25.52,0.88,45.07,22.19
293,16.28,26.83,0.81,44.39,22.53
294,21.16,43.35,1.62,66.86,14.96
295,19.14,40.99,1.23,62.07,16.11
296,22.32,38.95,1.24,63.17,15.83
297,32.7,50.26,1.37,85.09,11.75
298,36.13,43.23,1.23,81.34,12.29
299,31.84,37.33,1.28,71.15,14.05
300,31.03,37.07,1.29,70.03,14.28
301,31.67,43.16,1.18,76.64,13.05
302,29.74,42.14,1.25,73.78,13.55
303,28.38,38.77,1.19,68.99,14.49
304,28.5,35.92,1.22,66.3,15.08
305,31.94,39.05,0.92,72.56,13.78
306,28.66,36.36,0.86,66.42,15.06
307,27.79,33.21,0.82,62.4,16.03
308,31.5,48.82,1.42,82.43,12.13
309,32.05,44.23,1.08,77.99,12.82
310,38.27,35.94,1.91,76.98,12.99
311,25.67,34.01,0.99,61.26,16.33
312,32.28,36.11,1.39,70.48,14.19
313,35.01,47.03,1.41,84.16,11.88
314,42.22,40.14,1.3,84.33,11.86
315,20.5,36.35,1.4,58.99,16.95
316,32.93,35.34,1.31,70.28,14.23
317,39.92,32.94,0.83,74.14,13.49
318,17.06,26.32,1.07,44.9,22.27
319,18.41,28.86,0.88,48.58,20.59
320,16.33,25.48,0.84,43.12,23.19
321,19.98,26.58,0.8,47.77,20.93
322,17.0,25.69,0.8,43.91,22.77
323,16.25,25.14,0.79,42.59,23.48
324,16.23,24.82,0.79,42.29,23.65
325,20.78,27.87,0.85,49.93,20.03
326,16.52,33.66,1.23,52.29,19.13
327,16.93,26.56,0.82,44.73,22.36
